id,tournament.name,roundInfo.name,homeTeam.name,awayTeam.name
12813014,"FIFA World Cup, Knockout",Round of 32,Germany,Paraguay
12812998,"FIFA World Cup, Knockout",Round of 32,Netherlands,Morocco
12812989,"FIFA World Cup, Knockout",Round of 32,Côte d'Ivoire,Norway
12812995,"FIFA World Cup, Knockout",Round of 32,France,Sweden
12813001,"FIFA World Cup, Knockout",Round of 32,Mexico,Ecuador
12813020,"FIFA World Cup, Knockout",Round of 32,England,DR Congo
12813013,"FIFA World Cup, Knockout",Round of 32,Belgium,Senegal
12812992,"FIFA World Cup, Knockout",Round of 32,USA,Bosnia & Herzegovina
12813004,"FIFA World Cup, Knockout",Round of 32,Spain,Austria
12812997,"FIFA World Cup, Knockout",Round of 32,Portugal,Croatia
12813019,"FIFA World Cup, Knockout",Round of 32,Switzerland,Algeria
12813018,"FIFA World Cup, Knockout",Round of 32,Australia,Egypt
12812999,"FIFA World Cup, Knockout",Round of 32,Argentina,Cabo Verde
12813011,"FIFA World Cup, Knockout",Round of 32,Colombia,Ghana
12813009,"FIFA World Cup, Knockout",Round of 16,Canada,Morocco
12813010,"FIFA World Cup, Knockout",Round of 16,Paraguay,France
12813006,"FIFA World Cup, Knockout",Round of 16,Brazil,Norway
12813007,"FIFA World Cup, Knockout",Round of 16,Mexico,England
12812990,"FIFA World Cup, Knockout",Round of 16,Portugal,Spain
12813002,"FIFA World Cup, Knockout",Round of 16,USA,Belgium
12812993,"FIFA World Cup, Knockout",Round of 16,Argentina,Egypt
12812991,"FIFA World Cup, Knockout",Round of 16,Switzerland,Colombia
12813016,"FIFA World Cup, Knockout",Quarterfinals,France,Morocco
12812994,"FIFA World Cup, Knockout",Quarterfinals,Spain,Belgium
12813017,"FIFA World Cup, Knockout",Quarterfinals,Norway,England
12813015,"FIFA World Cup, Knockout",Quarterfinals,Argentina,Switzerland
12813008,"FIFA World Cup, Knockout",Semifinals,France,Spain
12812996,"FIFA World Cup, Knockout",Semifinals,England,Argentina
12813003,"FIFA World Cup, Knockout",Match for 3rd place,France,England
12813005,"FIFA World Cup, Knockout",Final,Spain,Argentina
15186858,"FIFA World Cup, Group K",,Portugal,Uzbekistan
15186672,"FIFA World Cup, Group L",,England,Ghana
15186520,"FIFA World Cup, Group L",,Panama,Croatia
15186713,"FIFA World Cup, Group K",,Colombia,DR Congo
15186829,"FIFA World Cup, Group B",,Bosnia & Herzegovina,Qatar
15186821,"FIFA World Cup, Group B",,Switzerland,Canada
15186864,"FIFA World Cup, Group C",,Morocco,Haiti
15186861,"FIFA World Cup, Group C",,Scotland,Brazil
15186744,"FIFA World Cup, Group A",,South Africa,South Korea
15186732,"FIFA World Cup, Group A",,Czechia,Mexico
15186908,"FIFA World Cup, Group E",,Curaçao,Côte d'Ivoire
15186907,"FIFA World Cup, Group E",,Ecuador,Germany
15186972,"FIFA World Cup, Group F",,Japan,Sweden
15186973,"FIFA World Cup, Group F",,Tunisia,Netherlands
15186891,"FIFA World Cup, Group D",,Paraguay,Australia
15186887,"FIFA World Cup, Group D",,Türkiye,USA
15186771,"FIFA World Cup, Group I",,Senegal,Iraq
15186537,"FIFA World Cup, Group I",,Norway,France
15186803,"FIFA World Cup, Group H",,Cabo Verde,Saudi Arabia
15186841,"FIFA World Cup, Group H",,Uruguay,Spain
15186822,"FIFA World Cup, Group G",,New Zealand,Belgium
15186828,"FIFA World Cup, Group G",,Egypt,Iran
15186624,"FIFA World Cup, Group L",,Croatia,Ghana
15186676,"FIFA World Cup, Group L",,Panama,England
15186717,"FIFA World Cup, Group K",,DR Congo,Uzbekistan
15186696,"FIFA World Cup, Group K",,Colombia,Portugal
15186747,"FIFA World Cup, Group J",,Algeria,Austria
15186734,"FIFA World Cup, Group J",,Jordan,Argentina
12813000,"FIFA World Cup, Knockout",Round of 32,South Africa,Canada
12813012,"FIFA World Cup, Knockout",Round of 32,Brazil,Japan
15186811,"FIFA World Cup, Group H",,Saudi Arabia,Uruguay
15186832,"FIFA World Cup, Group G",,Iran,New Zealand
15186501,"FIFA World Cup, Group I",,France,Senegal
15186773,"FIFA World Cup, Group I",,Iraq,Norway
15186854,"FIFA World Cup, Group J",,Argentina,Algeria
