isHome,shotType,goalType,situation,shootoutOrder,bodyPart,goalMouthLocation,xg,xgot,id,time,timeSeconds,incidentType,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.jerseyNumber,player.userCount,player.gender,player.sofascoreId,player.id,player.fieldTranslations.nameTranslation.ar,player.fieldTranslations.nameTranslation.ru,player.fieldTranslations.shortNameTranslation.ar,player.fieldTranslations.shortNameTranslation.ru,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalkeeper.name,goalkeeper.slug,goalkeeper.shortName,goalkeeper.position,goalkeeper.jerseyNumber,goalkeeper.userCount,goalkeeper.gender,goalkeeper.sofascoreId,goalkeeper.id,goalkeeper.fieldTranslations.nameTranslation.ar,goalkeeper.fieldTranslations.nameTranslation.bn,goalkeeper.fieldTranslations.nameTranslation.hi,goalkeeper.fieldTranslations.nameTranslation.ru,goalkeeper.fieldTranslations.shortNameTranslation.ar,goalkeeper.fieldTranslations.shortNameTranslation.bn,goalkeeper.fieldTranslations.shortNameTranslation.hi,goalkeeper.fieldTranslations.shortNameTranslation.ru,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,player.fieldTranslations.nameTranslation.bn,player.fieldTranslations.nameTranslation.hi,player.fieldTranslations.shortNameTranslation.bn,player.fieldTranslations.shortNameTranslation.hi,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,addedTime,match_id,goalkeeper.firstName,goalkeeper.lastName
False,goal,penalty,shootout,6.0,left-foot,high-right,0.7884,0.98532944917679,7611239,132,7906,shot,4,194,706,José Canale,Jose,Canale,jose-canale,J. Canale,D,13,1009,M,eidkg8,877452,خوسيه كانالي,Хосе Канале,خ. كانالي,Х. Канале,11.5,50.0,0,0,47.7,29.1,Manuel Neuer,manuel-neuer,M. Neuer,G,1,60537.0,M,MNeuer,8959.0,مانويل نوير,ম্যানুয়েল নিউয়ার,मैनुअल नॉयर,Мануэль Нойер,م. نوير,এম. নিউয়ার,एम. नॉयर,М. Нойер,50.0,11.5,52.3,0,52.3,70.9,,,,,,,,,,,12813014,,
True,miss,,shootout,6.0,right-foot,high,0.7884,0.0,7611238,132,7864,shot,4,236,664,Jonathan Tah,Jonathan,Tah,jonathan-tah,J. Tah,D,4,13544,M,jonatah,227672,جوناثان تاه,Жонатан Та,ج. تاه,Ж. Та,11.5,50.0,0,0,55.6,94.4,Orlando Gill,orlando-gil,O. Gill,G,12,14396.0,M,kmvtwa,991709.0,أورلاندو جيل,,,Орландо Хиль,أ. جيل,,,О. Хиль,50.0,11.5,44.4,0,44.4,5.6,জোনাথন তাহ,जोनाथन ताह,জে. তাহ,जे. ताह,,,,,,,12813014,,
False,save,,shootout,5.0,right-foot,low-right,0.7884,0.85194629430771,7611237,131,7811,shot,5,289,611,Fabián Balbuena,,,fabian-balbuena,F. Balbuena,D,2,2033,M,x2yput,339447,فابيان بالبوينا,Фабиан Бальбуэна,ف. بالبوينا,Ф. Бальбуэна,11.5,50.0,0,0,47.3,7.0,Manuel Neuer,manuel-neuer,M. Neuer,G,1,60537.0,M,MNeuer,8959.0,مانويل نوير,ম্যানুয়েল নিউয়ার,मैनुअल नॉयर,Мануэль Нойер,م. نوير,এম. নিউয়ার,एम. नॉयर,М. Нойер,50.0,11.5,52.7,0,52.7,93.0,ফ্যাবিয়ান বালবুয়েনা,फैबियान बाल्बुएना,এফ. বালবুয়েনা,एफ. बाल्बुएना,0.7,50.0,0.0,50.0,0.7,,12813014,,
True,goal,penalty,shootout,5.0,right-foot,low-right,0.7884,0.8372705578804,7611195,130,7758,shot,6,342,558,Nadiem Amiri,Nadiem,Amiri,nadiem-amiri,N. Amiri,M,10,4088,M,vp3ues,327755,ناديم أميري,Надим Амири,ن. أميري,Н. Амири,11.5,50.0,0,0,47.1,10.1,Orlando Gill,orlando-gil,O. Gill,G,12,14396.0,M,kmvtwa,991709.0,أورلاندو جيل,,,Орландо Хиль,أ. جيل,,,О. Хиль,50.0,11.5,52.9,0,52.9,89.9,নাদিম আমিরি,नादिम अमीरी,এন. আমিরি,एन. अमीरी,,,,,,,12813014,,
False,miss,,shootout,4.0,right-foot,close-left,0.7884,0.0,7611194,129,7697,shot,7,403,497,Antonio Sanabria,Antonio,Sanabria,antonio-sanabria,A. Sanabria,F,99,4190,M,wz3hzk,333261,أنطونيو سانابريا,Антонио Санабрия,أ. سانابريا,А. Санабрия,11.5,50.0,0,0,56.8,16.7,Manuel Neuer,manuel-neuer,M. Neuer,G,1,60537.0,M,MNeuer,8959.0,مانويل نوير,ম্যানুয়েল নিউয়ার,मैनुअल नॉयर,Мануэль Нойер,م. نوير,এম. নিউয়ার,एम. नॉयर,М. Нойер,50.0,11.5,43.2,0,43.2,83.3,আন্তোনিও সানাব্রিয়া,एंटोनियो सनाब्रिया,এ. সানাব্রিয়া,ए. सनाब्रिया,,,,,,,12813014,,
True,save,,shootout,4.0,right-foot,low-right,0.7884,0.6888473033905,7611193,128,7635,shot,8,465,435,Nick Woltemade,Nick,Woltemade,nick-woltemade,N. Woltemade,F,27,57293,M,iwwc58,980623,نيك ولتيماد,Ник Вольтемаде,ن. ولتيماد,Н. Вольтемаде,11.5,50.0,0,0,46.6,7.0,Orlando Gill,orlando-gil,O. Gill,G,12,14396.0,M,kmvtwa,991709.0,أورلاندو جيل,,,Орландо Хиль,أ. جيل,,,О. Хиль,50.0,11.5,53.4,0,53.4,93.0,নিক ওল্টেমেড,निक वोल्टेमेड,এন. ওলটেমেড,एन. वोल्टेमेड,0.3,50.2,0.0,50.2,0.3,,12813014,,
False,goal,penalty,shootout,3.0,left-foot,low-left,0.7884,0.78587490320206,7611192,127,7590,shot,9,510,390,Matías Galarza,Matías Galarza,,matias-galarza,M. Galarza,M,23,4958,M,eksram,1105836,ماتياس غالارزا,Матиас Галарса,م. غالارزا,М. Галарса,11.5,50.0,0,0,52.8,1.3,Manuel Neuer,manuel-neuer,M. Neuer,G,1,60537.0,M,MNeuer,8959.0,مانويل نوير,ম্যানুয়েল নিউয়ার,मैनुअल नॉयर,Мануэль Нойер,م. نوير,এম. নিউয়ার,एम. नॉयर,М. Нойер,50.0,11.5,47.2,0,47.2,98.7,মাতিয়াস গালারজা,मटियास गलार्ज़ा,এম গালারজা,एम. गलार्ज़ा,,,,,,,12813014,,
True,goal,penalty,shootout,3.0,right-foot,low-left,0.7884,0.80938845872879,7611191,126,7540,shot,10,560,340,Jamal Musiala,,,jamal-musiala,J. Musiala,M,10,134536,M,Bambi,1010231,جمال موسيالا,Джамал Мусиала,ج. موسيالا,Д. Мусиала,11.5,50.0,0,0,54.0,1.9,Orlando Gill,orlando-gil,O. Gill,G,12,14396.0,M,kmvtwa,991709.0,أورلاندو جيل,,,Орландо Хиль,أ. جيل,,,О. Хиль,50.0,11.5,46.0,0,46.0,98.1,জামাল মুসিয়ালা,जमाल मुसियाला,জে. মুসিয়ালা,जे. मुसियाला,,,,,,,12813014,,
False,goal,penalty,shootout,2.0,right-foot,low-right,0.7884,0.78814029693604,7611190,125,7493,shot,11,607,293,Gustavo Gómez,,,gustavo-gomez,G. Gómez,D,15,11093,M,gustavogomez,220833,غوستافو غوميز,Густаво Гомес,غ. غوميز,Г. Гомес,11.5,50.0,0,0,47.7,1.9,Manuel Neuer,manuel-neuer,M. Neuer,G,1,60537.0,M,MNeuer,8959.0,مانويل نوير,ম্যানুয়েল নিউয়ার,मैनुअल नॉयर,Мануэль Нойер,م. نوير,এম. নিউয়ার,एम. नॉयर,М. Нойер,50.0,11.5,52.3,0,52.3,98.1,গুস্তাভো গোমেজ,गुस्तावो गोमेज़,জি. গোমেজ,जी. गोमेज़,,,,,,,12813014,,
True,goal,penalty,shootout,2.0,right-foot,low-left,0.7884,0.6666464805603,7611189,125,7446,shot,11,654,246,Joshua Kimmich,Joshua,Kimmich,joshua-kimmich,J. Kimmich,M,6,53888,M,Jok_32,259117,جوشوا كيميش,Джошуа Киммих,ج. كيميش,Д. Киммих,11.5,50.0,0,0,53.1,5.7,Orlando Gill,orlando-gil,O. Gill,G,12,14396.0,M,kmvtwa,991709.0,أورلاندو جيل,,,Орландо Хиль,أ. جيل,,,О. Хиль,50.0,11.5,46.9,0,46.9,94.3,জোশুয়া কিমিচ,जोशुआ किमिच,জে. কিমিচ,जे. किमिच,,,,,,,12813014,,
